IPIC Ref No.,IPIC Comment
IPIC-1002,"As stated by the surveyor issue CA failure due to high gas readings in transit. Reason could possibly be due to curtain not fitted correctly, as mentioned by the surveyor.   "
IPIC-1003,"Surveyors comment noted. Shippers temptale recordings suggest that temperature during the voyage was kept within an acceptable range compared to set point. Data logger required to verify gaseous readings during the course of transit. "
IPIC-1004,"No comment. Unable to open the original data logger file. "
IPIC-1005,Requested data logger. Once received will issue addendum report.  
IPIC-1006,No comment
IPIC-1008,No comment. 
IPIC-1009,Agree with surveyors remarks. Recommend recovery action against Dal Karoo vessel operators for not complying with PPECB carriage instructions for plums.    
IPIC-1013,"One of 15 containers under the bill of lading no other reported issues. As the surveyor has mentioned shippers temperature chart recording denote on the 15th January or there abouts and until the 20th temperatures fell below 0 and down to -15 C. Maersk Line data logger activated on the 8th January, it is not exactly clear when the unit was stuffed as there is an initial time at 14.24, with return above set point at 10.8 C, climbing to 14.28, before dropping to 13.64 C. Unit then off power for 4 hours.  At 20.10 when resumed 15.84 C, dropping ot 10/11 C. On the 10th return air drops below set point, however, supply increases, by the 19th/20th, return back in line with set point. Event log records no alarms.      "
IPIC-1014,Agree with surveyors remarks.
IPIC-1015,No comments.
IPIC-1017,Agree with surveyors remarks. 
IPIC-1018,"No comment, as surveyor advised no issues to consignment.  "
IPIC-1019,"surveyors comments noted.No claim expected."
IPIC-1020,"We would agree with the surveyors remarks that both of the shippers Temptales activated on the 1st January 2015 record high temperatures up to 7/8 C from the time gated in on the 2nd Janaury until the 5th date of loading. Under the circumstances we would recommend the terminal are held liable and a recovery action pursued in the event a claim is forthcoming.   "
IPIC-1021,Surveyor confirms no issues with cargo. 
IPIC-1022,No comment. 
IPIC-1023,No comment as no claim. 
IPIC-1025,"Surveyors comments noted.no claim expected."
IPIC-1026,No comment. 
IPIC-1027,We would recommend Principals check the booking note and if this confirms the consignment was to be carried at dual temperature we would recommend the claim is refuted.  
IPIC-1028,"Surveyors comments noted, will monitor to see whether a claim lodged at point of destination.  "
IPIC-1029,"Agree with surveyors comments.  Recommend recovery action against terminal for unit being off power. "
IPIC-1030,No comment. 
IPIC-1031,"In view of temperatures of -0.4 C recorded, recommend data logger is obtained in case coonsignment rejected by vets.  "
IPIC-1032,survey canceled
IPIC-1033,SCACSCLM@maersk advising survey no longer required.
IPIC-1034,"Agree with the remarks made by the surveyor. Recovery action against vessel owners, Dal Karoo, for events on the 3rd/4th and 5th January, and loss of readings on the 8th, 17th to the 21st January.   "
IPIC-1035,Await data logger to comment on reason for ripe/soft fruit. 
IPIC-1036,"Ten containers were shipped under the bill of lading, no other reported issues with the remaining 8 units.  Cargo in MSWU9095209 was considered a total loss. Shippers Temptale was activated on the 16th December, and records a rapid pull down to 14.2 C. On the 23rd December container was loaded to the Hammonia Antofagasta and striaght away the trace climbs to 28.6 C and remains so until the 15th January when discharged in Bremerhaven. Trace then drops significantly to below set point with resultant chill. PONU4811845 cause of complaint was 26 cartons ripes. Shippers TempTale again records on the 23rd December a rise to 20 C, dropping to 17.5 C and by the time of sischarge Bremenhaven 13 C. Bearing in mind the temperature profile we are surprised the complaint was limted only to 26 cartons. Both containers had issues with temperature control whilst on board vessel ""Hammonia Antofagasta"" which possible could relate to power supply issues. However we would require the data logger download in order to comment any further on specific cause.In the interim we have recommended the vessel is held liable for said losses. "
IPIC-1036,"Ten containers were shipped under the bill of lading, no other reported issues with the remaining 8 units.  Cargo in MSWU9095209 was considered a total loss. Shippers Temptale was activated on the 16th December, and records a rapid pull down to 14.2 C. On the 23rd December container was loaded to the Hammonia Antofagasta and striaght away the trace climbs to 28.6 C and remains so until the 15th January when discharged in Bremerhaven. Trace then drops significantly to below set point with resultant chill. PONU4811845 cause of complaint was 26 cartons ripes. Shippers TempTale again records on the 23rd December a rise to 20 C, dropping to 17.5 C and by the time of sischarge Bremenhaven 13 C. Bearing in mind the temperature profile we are surprised the complaint was limted only to 26 cartons. Both containers had issues with temperature control whilst on board vessel ""Hammonia Antofagasta"" which possible could relate to power supply issues. However we would require the data logger download in order to comment any further on specific cause.In the interim we have recommended the vessel is held liable for said losses. "
IPIC-1037,No reported issues to the fruit. 
IPIC-1037,No reported issues to the fruit. 
